Type,DetectRange,AttackRange,MoveSpeed,AttackCooldown,JumpTiles,MovementType,Attribute,Archetype,Role,IsNeutralBase,EliteEligible
Slime,0,0,30,0,4,ground,water,A-02,swarmer,true,false
Skeleton,160,18,45,1200,5,ground,,A-01,bruiser,true,true
Ghost,200,120,40,2000,0,flying,,A-03a,ranged,false,false
MawDrone,180,20,52,1000,0,flying,,A-01,bruiser,true,false
GoldenMonster,200,20,90,1000,0,ground,,A-09,treasure,false,false
Guardian,300,200,50,1200,0,ground,,Boss,boss,false,false
Lobber,280,220,25,2200,0,ground,,A-03b,ranged,false,true
Bulwark,160,22,22,1600,0,ground,,A-04,bruiser,false,true
SparkBat,180,24,50,1500,0,flying,,A-05,ranged,false,false
CinderImp,200,16,55,600,2,ground,,A-06,swarmer,false,false
Lurker,60,20,45,2000,3,ground,,A-07,ranged,false,false
Conduit,260,0,30,3000,0,ground,,A-08,lieutenant,false,true
Sentry,320,280,0,1800,0,ground,,A-10,ranged,false,true
