Category,Key,Value,Description,Source
Player.Movement,MoveSpeed,128,Player base move speed (px/s) = 8 tiles/s,game/src/entities/Player.ts:15
Player.Movement,AccelFrames,4,Frames to reach max speed,game/src/entities/Player.ts:16
Player.Movement,Gravity,980,Universal gravity (px/s²) shared with enemies,game/src/entities/Player.ts:17
Player.Movement,MaxFallSpeed,480,Max fall speed on land (px/s),game/src/entities/Player.ts:18
Player.Movement,JumpHeight,80,Jump height (px) = 5 tiles,game/src/entities/Player.ts:19
Player.Movement,CoyoteTimeMs,150,Grace window after leaving ledge to still jump (ms),game/src/entities/Player.ts:20
Player.Movement,JumpBufferMs,250,Jump input buffer before grounded (ms),game/src/entities/Player.ts:21
Player.Movement,AirAccelMult,0.75,Air horizontal accel multiplier vs ground,game/src/entities/Player.ts:41
Player.Movement,AttackMoveMult,0.8,Move speed multiplier while attacking,game/src/entities/Player.ts:25
Player.Jump,VarJumpTimeMs,200,Variable jump-height window (ms),game/src/entities/Player.ts:37
Player.Jump,VarJumpCutMult,0.85,VY multiplier when jump released early,game/src/entities/Player.ts:38
Player.Jump,ApexThreshold,40,|VY| threshold to enter floaty apex (px/s),game/src/entities/Player.ts:39
Player.Jump,ApexGravityMult,0.5,Gravity multiplier near jump apex,game/src/entities/Player.ts:40
Player.Dash,DashDistance,64,Dash horizontal distance (px) = 4 tiles,game/src/entities/Player.ts:22
Player.Dash,DashDurationMs,150,Dash active duration (ms),game/src/entities/Player.ts:23
Player.Dash,DashGroundDelayMs,400,Ground dash recharge delay (ms),game/src/entities/Player.ts:24
Player.Dash,DashFreezeMs,50,Pre-dash freeze frames in ms (3 frames),game/src/entities/Player.ts:42
Player.Dash,DashCornerToleranceY,8,Vertical alignment tolerance during dash (px),game/src/entities/Player.ts:43
Player.WallJump,WallSlideSpeed,50,Slide speed when on wall (px/s),game/src/entities/Player.ts:29
Player.WallJump,WallJumpVx,140,Horizontal velocity on wall jump (px/s),game/src/entities/Player.ts:30
Player.WallJump,WallJumpCooldownMs,200,Wall interaction cooldown (ms),game/src/entities/Player.ts:32
Player.WallJump,WallCheckDist,2,Distance to detect wall presence (px),game/src/entities/Player.ts:33
Player.WallJump,LedgeTolerance,8,Ledge snap tolerance (px),game/src/entities/Player.ts:34
Player.Surge,SurgeChargeMs,1500,Surge charge time (ms),game/src/entities/Player.ts:192
Player.Surge,SurgeSpeed,800,Surge upward speed (px/s),game/src/entities/Player.ts:193
Player.Surge,SurgeDurationMs,500,Surge boost duration (ms),game/src/entities/Player.ts:194
Player.Water,WaterMoveMult,0.5,Movement multiplier underwater,game/src/entities/Player.ts:608
Player.Water,WaterMaxFallMult,0.4,Max fall speed multiplier underwater,game/src/entities/Player.ts:634
Player.Water,WaterOxygenRecoverMult,3,Oxygen recovery rate multiplier on surface,game/src/entities/Player.ts:626
Player.Water,WaterHeadDepthTiles,2,Head submerge depth threshold (tiles),game/src/entities/Player.ts:611
Player.Water,OxygenMaxMs,20000,Max oxygen capacity (ms) = 20s,game/src/entities/Player.ts:157
Player.Healing,FlaskHealPercent,0.40,Flask heal percent of maxHP,game/src/entities/Player.ts:170
Player.Healing,FlaskCastMs,600,Flask cast time (ms),game/src/entities/Player.ts:171
Player.Healing,FlaskBufferMs,200,Flask input buffer (ms),game/src/entities/Player.ts:172
Player.Healing,FlaskInitialCharges,3,Flask charges on item-world entry (fixed; not rarity-scaled),game/src/entities/Player.ts:168
Player.Healing,DropThroughMs,150,One-way platform drop-through window (ms),game/src/entities/Player.ts:165
Player.Base,BaseHp,100,Player initial maxHP,game/src/entities/Player.ts:114
Player.Base,BaseAtk,10,Player base ATK before weapon,game/src/entities/Player.ts:116
Player.Base,BaseDef,5,Player Lv1 DEF,game/src/entities/Player.ts:117
Player.Base,CollisionW,9,Player hitbox width (px),game/src/entities/Player.ts:141
Player.Base,CollisionH,16,Player hitbox height (px),game/src/entities/Player.ts:142
