ItemId,NameKey,Category,Tab,PriceHL,UnlockCond,Stock,Note
flask_refill,shop.item.flask_refill,consumable,buy,80,always,inf,추가 회복 플라스크 1충전
gency_exit,shop.item.gency_exit,consumable,buy,200,always,inf,Mr. Gency Exit 탈출권 (HL 앵커)
ward_elemental,shop.item.ward_elemental,consumable,buy,120,always,inf,원소 피해 일시 저항 소모품
throw_container,shop.item.throw_container,consumable,buy,100,always,inf,테마 fluid 던지기 컨테이너
weapon_normal,shop.item.weapon_normal,gear_floor,buy,500,always,inf,Normal 무기 floor (drop ceiling 아래·HL 앵커)
armor_normal,shop.item.armor_normal,gear_floor,buy,400,always,inf,Normal 방어구 floor
weapon_magic,shop.item.weapon_magic,gear_floor,buy,1500,progress_stratum2,inf,Magic 무기 filler (지층2 도달 해금)
vitality_1,shop.item.vitality_1,permanent,buy,600,always,1,최대 HP + (비이동 영구 강화 1단)
vitality_2,shop.item.vitality_2,permanent,buy,1800,progress_stratum2,1,최대 HP + (2단·지수 비용)
flask_capacity_1,shop.item.flask_capacity_1,permanent,buy,800,always,1,플라스크 충전 수 +1
soul_1,shop.item.soul_1,permanent,buy,700,always,1,자원/소울 용량 + (비이동)
map_data,shop.item.map_data,access,buy,100,per_region,1,지역 맵 데이터 (지역별 1회)
warp_pass,shop.item.warp_pass,access,buy,500,progress_stratum2,1,세이브포인트 워프 해금 (Library Card식)
gamble_weapon,shop.item.gamble_weapon,gamble,gamble,800,progress_stratum1,inf,미감정 base 무기 슬롯 굴림 (강화는 아이템계·HL 단가로 인플레 억제)
gamble_armor,shop.item.gamble_armor,gamble,gamble,600,progress_stratum1,inf,미감정 base 방어구 슬롯 굴림
completion_blessing,shop.item.completion_blessing,meta,buy,0,all_bought,1,전 품목 1회 구매 시 해금되는 영구 패시브 (비이동·SHOP-06)
weekly_special,shop.item.weekly_special,meta,buy,0,rotating,1,주기 한정 특가 슬롯 (내용 로테이션·SHOP-07)
